seconds_from_start,x,y,z,finished
16.64,400.0,10.00150203704834,368.0,0
16.703,400.0,10.00150203704834,368.0,0
16.765,400.0,10.00150203704834,368.0,0
16.828,400.0,10.00150203704834,368.0,0
16.89,400.0,10.00150203704834,368.0,0
16.953,400.0,10.00150203704834,368.0,0
17.015,400.0,10.00150203704834,368.0,0
17.078,400.0,10.00150203704834,368.0,0
17.14,400.0,10.00150203704834,368.0,0
17.203,400.0,10.00150203704834,368.0,0
17.265,400.0,10.00150203704834,368.0,0
17.328,400.0,10.00150203704834,368.0,0
17.39,400.0,10.00150203704834,368.0,0
17.453,400.0,10.00150203704834,368.0,0
17.515,400.0,10.00150203704834,368.0,0
17.578,400.0,10.00150203704834,368.0,0
17.64,400.0,10.00150203704834,368.0,0
17.703,400.0,10.00150203704834,368.0,0
17.765,400.0,10.00150203704834,368.0,0
17.828,400.0,10.00150203704834,368.0,0
17.89,400.0,10.00150203704834,368.0,0
17.953,400.0,10.00150203704834,368.0,0
18.015,400.0,10.00150203704834,368.0,0
18.078,400.0,10.00150203704834,368.0,0
18.14,400.0,10.00150203704834,368.0,0
18.203,400.0,10.00150203704834,368.0,0
18.265,400.0,10.00150203704834,368.0,0
18.328,400.0,10.00150203704834,368.0,0
18.39,400.0,10.00150203704834,368.0,0
18.453,400.0,10.00150203704834,368.0,0
18.515,400.0,10.00150203704834,368.0,0
18.578,400.0,10.00150203704834,368.0,0
18.64,400.0,10.00150203704834,368.0,0
18.703,400.0,10.00150203704834,368.0,0
18.765,400.0,10.00150203704834,368.0,0
18.828,400.0,10.00150203704834,368.0,0
18.89,400.0,10.00150203704834,368.0,0
18.953,400.0,10.00150203704834,368.0,0
19.25,400.0,10.00150203704834,368.0,0
19.797,400.0,10.00150203704834,368.0,0
19.875,400.0,10.00150203704834,368.0,0
19.937,400.0,10.00150203704834,368.0,0
20.0,400.0,10.00150203704834,368.0,0
20.062,400.0,10.00150203704834,368.0,0
20.125,400.0,10.00150203704834,368.0,0
20.187,400.0,10.00150203704834,368.0,0
20.25,400.0,10.00150203704834,368.0,0
20.312,400.0,10.00150203704834,368.0,0
20.375,400.0,10.00150203704834,368.0,0
20.437,400.0,10.00150203704834,368.0,0
20.5,400.0,10.00150203704834,368.0,0
20.562,400.0,10.00150203704834,368.0,0
20.625,400.0,10.00150203704834,368.0,0
20.687,400.0,10.00150203704834,368.0,0
20.75,400.0,10.00150203704834,368.0,0
20.812,400.0,10.00150203704834,368.0,0
20.875,400.0,10.00150203704834,368.0,0
20.937,400.0,10.00150203704834,368.0,0
21.0,400.0,10.00150203704834,368.0,0
21.062,400.0,10.00150203704834,368.0,0
21.125,400.0,10.00150203704834,368.0,0
21.187,400.0,10.00150203704834,368.0,0
21.25,400.0,10.00150203704834,368.0,0
21.312,400.0,10.00150203704834,368.0,0
21.375,400.0,10.00150203704834,368.0,0
21.437,400.0,10.00150203704834,368.0,0
21.5,400.0,10.00150203704834,368.0,0
21.562,400.0,10.00150203704834,368.0,0
21.625,400.0,10.00150203704834,368.0,0
21.687,400.0,10.00150203704834,368.0,0
21.75,400.0,10.00150203704834,368.0,0
21.812,400.0,10.00150203704834,368.0,0
21.875,400.0,10.00150203704834,368.0,0
21.937,400.0,10.00150203704834,368.0,0
22.0,400.0,10.00150203704834,368.0,0
22.062,400.0,10.00150203704834,368.0,0
22.125,400.0,10.00150203704834,368.0,0
22.187,400.0,10.00150203704834,368.0,0
22.25,400.0,10.00150203704834,368.0,0
22.312,400.0,10.00150203704834,368.0,0
22.375,400.0,10.00150203704834,368.0,0
22.437,400.0,10.00150203704834,368.0,0
22.5,400.0,10.00150203704834,368.0,0
22.562,400.0,10.00150203704834,368.0,0
22.625,400.0,10.00150203704834,368.0,0
22.687,400.0,10.00150203704834,368.0,0
22.75,400.0,10.00150203704834,368.0,0
22.812,400.0,10.00150203704834,368.0,0
22.875,400.0,10.00150203704834,368.0,0
22.937,400.0,10.00150203704834,368.0,0
23.0,400.0,10.00150203704834,368.0,0
23.062,400.0,10.00150203704834,368.0,0
23.125,400.0,10.00150203704834,368.0,0
23.187,400.0,10.00150203704834,368.0,0
23.25,400.0013122558594,10.00153923034668,368.0,0
23.312,400.04315185546875,10.002796173095703,368.0,0
23.375,400.16546630859375,10.00658130645752,368.0,0
23.437,400.3327941894531,10.011224746704102,368.0,0
23.5,400.55645751953125,10.014447212219238,368.0,0
23.562,400.83563232421875,10.014799118041992,368.0,0
23.625,401.17034912109375,10.012537956237793,368.0,0
23.687,401.6319885253906,10.008732795715332,368.0,0
23.75,402.0896911621094,10.006569862365723,368.0,0
23.812,402.60528564453125,10.006474494934082,368.0,0
23.875,403.17864990234375,10.008176803588867,368.0,0
23.937,403.91998291015625,10.010866165161133,368.0,0
24.0,404.6166687011719,10.012312889099121,368.0,0
24.062,405.3695068359375,10.012269973754883,368.0,0
24.125,406.31890869140625,10.01070499420166,368.0,0
24.187,407.1940612792969,10.009072303771973,368.0,0
24.25,408.1263427734375,10.008111000061035,368.0,0
24.312,409.11602783203125,10.008222579956055,368.0,0
24.375,410.343017578125,10.009389877319336,368.0,0
24.437,411.4564208984375,10.010541915893555,368.0,0
24.5,412.6265563964844,10.011178016662598,368.0,0
24.562,413.8531494140625,10.011042594909668,368.0,0
24.625,415.13629150390625,10.010324478149414,368.0,0
24.687,416.7050476074219,10.009367942810059,368.0,0
24.75,418.1114807128906,10.008952140808105,368.0,0
24.812,419.8245544433594,10.009157180786133,368.0,0
24.875,421.3547058105469,10.009722709655762,368.0,0
24.937,422.9417419433594,10.010285377502441,368.0,0
25.0,424.58551025390625,10.01054573059082,368.0,0
25.062,426.5606384277344,10.009977340698242,368.0,0
25.125,428.258056640625,10.008131980895996,368.0,0
25.187,429.9546813964844,10.007075309753418,368.0,0
25.25,431.6513366699219,10.009185791015625,368.0,0
25.312,433.3480529785156,10.01300048828125,368.0,0
25.375,435.3451843261719,10.016847610473633,368.0,0
25.437,437.10064697265625,10.017681121826172,368.0,0
25.5,438.89691162109375,10.016880989074707,368.0,0
25.562,441.0420837402344,10.018548965454102,368.0,0
25.625,442.92193603515625,10.020092964172363,368.0,0
25.687,444.8400573730469,10.020752906799316,368.0,0
25.75,446.79736328125,10.020244598388672,368.0,0
25.812,448.7943420410156,10.018935203552246,368.0,0
25.875,451.1749572753906,10.017388343811035,368.0,0
25.937,453.2588195800781,10.016826629638672,368.0,0
26.0,455.3820495605469,10.01722240447998,368.0,0
26.062,457.9077453613281,10.018463134765625,367.98583984375,0
26.125,460.11273193359375,10.019726753234863,367.9428405761719,0
26.187,462.3551940917969,10.020872116088867,367.85943603515625,0
26.25,464.6347961425781,10.0214204788208,367.7306823730469,0
26.312,466.9523010253906,10.020648002624512,367.5713195800781,0
26.375,469.70458984375,10.018208503723145,367.3589782714844,0
26.437,472.105224609375,10.016119956970215,367.1604309082031,0
26.5,474.54400634765625,10.016072273254395,366.9498291015625,0
26.562,477.43731689453125,10.0183687210083,366.6916198730469,0
26.625,479.9590148925781,10.020094871520996,366.4615478515625,0
26.687,482.51959228515625,10.020763397216797,366.224853515625,0
26.75,485.1195373535156,10.020188331604004,365.9828796386719,0
26.812,488.202392578125,10.01862907409668,365.6953430175781,0
26.875,490.8846740722656,10.017480850219727,365.4453125,0
26.937,493.57373046875,10.01737117767334,365.1947326660156,0
27.0,496.2620849609375,10.018216133117676,364.9440612792969,0
27.062,499.40277099609375,10.01954174041748,364.65057373046875,0
27.125,502.1301574707031,10.01988410949707,364.39501953125,0
27.187,504.897705078125,10.019356727600098,364.1352233886719,0
27.25,507.7043762207031,10.018491744995117,363.8714904785156,0
27.312,511.02728271484375,10.018329620361328,363.55963134765625,0
27.375,513.916748046875,10.018695831298828,363.2886962890625,0
27.437,516.8448486328125,10.019023895263672,363.01446533203125,0
27.5,519.8120727539062,10.019074440002441,362.736572265625,0
27.562,522.8197021484375,10.018798828125,362.46026611328125,0
27.625,525.8690185546875,10.018381118774414,362.2191467285156,0
27.687,529.4794311523438,10.020817756652832,362.0318298339844,0
27.75,532.6175537109375,10.027456283569336,362.01177978515625,0
27.812,536.3185424804688,10.040675163269043,362.2019348144531,0
27.875,539.5110473632812,10.047327041625977,362.57305908203125,0
27.937,542.7088623046875,10.048352241516113,363.15118408203125,0
28.0,545.895751953125,10.044905662536621,363.9469299316406,0
28.062,549.5776977539062,10.03860092163086,365.15875244140625,0
28.125,552.6791381835938,10.034687995910645,366.4416809082031,0
28.187,555.7032470703125,10.033991813659668,367.94488525390625,0
28.25,558.6341552734375,10.036548614501953,369.6636657714844,0
28.312,561.4567260742188,10.040729522705078,371.5914306640625,0
28.375,564.1569213867188,10.044395446777344,373.7201843261719,0
28.437,567.1375732421875,10.045987129211426,376.4424133300781,0
28.5,569.4891357421875,10.042924880981445,378.93310546875,0
28.562,571.9552001953125,10.039238929748535,381.965087890625,0
28.625,573.5314331054688,10.041081428527832,384.2010192871094,0
28.687,575.486328125,10.041454315185547,387.4274597167969,0
28.75,576.9603881835938,10.03671932220459,390.3363037109375,0
28.812,578.240966796875,10.035508155822754,393.37371826171875,0
28.875,579.4666137695312,10.039013862609863,397.0309143066406,0
28.937,580.2614135742188,10.039164543151855,400.1705017089844,0
29.0,580.8501586914062,10.040815353393555,403.2898254394531,0
29.062,581.270263671875,10.0387544631958,406.394287109375,0
29.125,581.55859375,10.02826976776123,409.54705810546875,0
29.187,581.7325439453125,10.01639461517334,413.2839050292969,0
29.25,581.7095336914062,10.01784896850586,416.5299377441406,0
29.312,581.444091796875,10.02873706817627,420.3418884277344,0
29.375,581.005126953125,10.038066864013672,423.5361633300781,0
29.437,580.3738403320312,10.044209480285645,426.6305236816406,0
29.5,579.5547485351562,10.050646781921387,429.6136779785156,0
29.562,578.3626098632812,10.049832344055176,432.9560546875,0
29.625,577.3358154296875,10.04294490814209,435.2960205078125,0
29.687,575.645263671875,10.032608985900879,438.4956359863281,0
29.75,573.9620361328125,10.027944564819336,441.1466979980469,0
29.812,572.0675048828125,10.032535552978516,443.6949768066406,0
29.875,569.9697875976562,10.039567947387695,446.1246337890625,0
29.937,567.2777099609375,10.046339988708496,448.79010009765625,0
30.0,564.772705078125,10.047728538513184,450.9139404296875,0
30.062,562.0960083007812,10.045757293701172,452.8766784667969,0
30.125,559.2608642578125,10.041971206665039,454.6637268066406,0
30.187,555.78955078125,10.035812377929688,456.52423095703125,0
